"cat1","cat2","url","name","ip","cf","ec2","incapsula","DDoS"
"Currency exchanges","Real-time Trading","https://btc-e.com","BTC-E","141.101.121.194","True","False","False","True"
"Currency exchanges","Real-time Trading","https://www.campbx.com","CampBX.com","190.93.243.229","True","False","False","False"
"Currency exchanges","Real-time Trading","https://www.fybsg.com/","FYB-SG","218.186.181.4","False","False","False","False"
"Currency exchanges","Real-time Trading","https://www.fybse.se/","FYB-SE","218.186.181.4","False","False","False","False"
"Currency exchanges","Real-time Trading","https://intersango.com/","Intersango (formerly britcoin)","88.150.207.242","False","False","False","False"
"Currency exchanges","Real-time Trading","https://kapiton.se/","Kapiton.se","108.162.207.123","True","False","False","False"
"Currency exchanges","Real-time Trading","https://localbitcoins.com/","LocalBitcoins.com","5.9.105.18","False","False","False","False"
"Currency exchanges","Real-time Trading","https://moneypaktrader.com","MoneypakTrader.com","82.221.129.8","False","False","False","False"
"Currency exchanges","Real-time Trading","https://mtgox.com/","MtGox","54.248.94.18","False","True","False","True"
"Currency exchanges","Real-time Trading","https://www.cryptsy.com/","Cryptsy","199.83.131.5","False","False","True","True"
"Currency exchanges","Real-time Trading","http://otcexchange.net/","OTC Exchange","69.43.161.174","False","False","False","False"
"Currency exchanges","Real-time Trading","https://www.therocktrading.com/rock/currency_exchange","The Rock Currency Exchange","82.192.68.25","False","False","False","False"
"Currency exchanges","Real-time Trading","https://rbitco.in","Real Bitcoin","107.6.44.42","False","False","False","False"
"Currency exchanges","Real-time Trading","https://vircurex.com/","Vircurex","108.162.205.106","True","False","False","True"
"Currency exchanges","Real-time Trading","http://www.cavirtex.com/","VirtEx","198.41.186.23","True","False","False","False"
"Currency exchanges","Real-time Trading","https://www.virwox.com","VirWoX","91.205.41.234","False","False","False","False"
"Currency exchanges","Real-time Trading","https://www.WeExchange.co","WeExchange.co","141.101.127.173","True","False","False","False"
"Currency exchanges","Real-time Trading","https://www.snapswap.vc","SnapSwap","50.112.243.248","False","True","False","False"
"Currency exchanges","Fixed rate","https://bips.me/","BIPS","79.125.108.156","False","True","False","False"
"Currency exchanges","Fixed rate","https://www.getbitcoin.com.au","Bitcoin (Australia)","54.252.151.92","False","True","False","False"
"Currency exchanges","Fixed rate","https://www.bitservicex.com/","BitServiceX","0.0.0.0","False","False","False","False"
"Currency exchanges","Fixed rate","http://bitXoin.com","bitXoin","107.21.201.110","False","True","False","False"
"Currency exchanges","Fixed rate","https://fastcash4bitcoins.com/","FastCash4Bitcoins","209.222.67.51","False","False","False","True"
"Currency exchanges","Fixed rate","http://liliontransfer.org/","Lilion Transfer","91.228.198.70","False","False","False","False"
"Currency exchanges","Fixed rate","http://www.nanaimogold.com/","Nanaimo Gold","204.11.51.202","False","False","False","False"
"Currency exchanges","Fixed rate","https://www.wm-center.es/","WM-Center","69.172.200.203","False","False","False","False"
"Currency exchanges","Fixed rate","http://btcx.se/","btcx.se","0.0.0.0","False","False","False","False"
"Currency exchanges","Fixed rate","https://blockchain.info/wallet/sms-phone-deposits","Blockchain","141.101.112.196","True","False","False","True"
"Currency exchanges","Fixed rate","http://www.bitcoil.co.il/","Bitcoil","82.166.190.186","False","False","False","False"
"Currency exchanges","Fixed rate","https://www.bitsofgold.co.il","Bits of Gold LTD","107.20.186.38","False","True","False","False"
"Currency exchanges","Fixed rate","http://www.bitcoinsnow.com.au","Bitcoins Now","203.143.84.18","False","False","False","False"
"Currency exchanges","Fixed rate","http://bitXoin.com","bitXoin","107.21.201.110","False","True","False","False"
"Currency exchanges","Fixed rate","http://www.coinmarket.co.nz","Coin Market","0.0.0.0","False","False","False","False"
"Currency exchanges","Fixed rate","https://rbitco.in","Real Bitcoin","107.6.44.42","False","False","False","False"
"Currency exchanges","Fixed rate","https://bitcoinnordic.com","Bitcoin Nordic","78.47.102.138","False","False","False","False"
"Currency exchanges","Fixed rate","https://coinbase.com/","Coinbase","190.93.241.231","True","False","False","True"
"Currency exchanges","Fixed rate","https://www.okpay.com/en/company/news/okpay-bitcoin.html","source","78.140.166.72","False","False","False","False"
"Currency exchanges","Fixed rate","http://btcchina.com","BTC China","103.28.248.93","False","False","True","False"
"Currency exchanges","Fixed rate","http://www.ecurrencyzone.com/sell.php","ECurrencyZone","5.77.42.141","False","False","False","False"
"Currency exchanges","Fixed rate","http://www.canadianbitcoins.com","Canadian Bitcoins","141.101.124.190","True","False","False","False"
"Currency exchanges","Fixed rate","https://www.therocktrading.com/rock/currency_exchange","The Rock Currency Exchange","82.192.68.25","False","False","False","False"
"Currency exchanges","Fixed rate","https://dgtmkt.com","dgtmkt","174.121.164.37","False","False","False","False"
"Currency exchanges","Fixed rate","http://www.bitcoinmalaysia.com/","BitcoinMalaysia","141.101.116.70","True","False","False","False"
"Currency exchanges","Fixed rate","http://www.bitcoin-otc.com/","#bitcoin-otc","108.162.196.104","True","False","False","False"
"Currency exchanges","Fixed rate","https://www.bitcoinary.com/","Bitcoinary","23.23.113.86","False","True","False","False"
"Currency exchanges","Fixed rate","http://centraw.com/","Centraw","23.82.187.96","False","False","False","False"
"Currency exchanges","Fixed rate","http://bitcoin.in.th/","Bitcoin.in.th","174.122.127.30","False","False","False","False"
"Currency exchanges","Fixed rate","http://bahtcoin.com/","Bahtcoin","23.82.187.96","False","False","False","False"
"Currency exchanges","Fixed rate","https://www.koinmail.com/","KoinMail.com","81.17.19.237","False","False","False","False"
"Currency exchanges","Fixed rate","http://btc2usd4u.yolasite.com/","btc2usd","23.21.205.172","False","True","False","False"
"Currency exchanges","Fixed rate","http://londonbitcoinexchange.wordpress.com/","London Bitcoin Exchange","76.74.254.120","False","False","False","False"
"Currency exchanges","Fixed rate","http://schweinehaus.de/2011/01/08/die-bitcoin-p2p-krypto-wahrung/","Schweinehaus.de","213.239.220.135","False","False","False","False"
"Currency exchanges","Fixed rate","https://bitpiggy.herokuapp.com/","BitPiggy","184.73.213.30","False","True","False","False"
"Currency exchanges","Fixed rate","https://bitcointalk.org/index.php?topic=88320.0","Mang Sweeney","109.201.133.195","False","False","False","False"
"Currency exchanges","Fixed rate","http://bitcoin.hu/","bitcoin.hu","82.221.129.240","False","False","False","False"
"Currency exchanges","Fixed rate","http://schendera.com/buy-bitcoins.html","Schendera.com","78.46.52.119","False","False","False","False"
"Currency exchanges","Fixed rate","http://BitcoinsInBerlin.com","BitcoinsInBerlin.com","81.169.145.156","False","False","False","False"
"Currency exchanges","Fixed rate","http://buyBTC.cz","buyBTC.cz","0.0.0.0","False","False","False","False"
"Currency exchanges","Fixed rate","http://www.mercaBit.eu","mercaBit.eu","141.101.117.142","True","False","False","False"
"Currency exchanges","Fixed rate","http://tl.gd/igqt0i","Intrade Tx","72.47.228.92","False","False","False","False"
"Currency exchanges","Fixed rate","http://valutapay.com","ValutaPay Corporation","208.113.145.125","False","False","False","False"
"Currency exchanges","Fixed rate","https://www.bitinstant.com/","Bitinstant","50.19.80.20","False","True","False","True"
"Currency exchanges","Fixed rate","http://liliontransfer.org/","Lilion Transfer","91.228.198.70","False","False","False","False"
"Currency exchanges","Fixed rate","http://bitcoinplus.mx/","Bitcoin Plus Mexico","173.254.214.197","False","False","False","False"
"Currency exchanges","Fixed rate","http://www.bitaurum.eu","BitAurum.eu","134.0.28.35","False","False","False","False"
"Currency exchanges","Fixed rate","http://www.ArtaBit.com","artaBit","82.211.31.251","False","False","False","False"
"Currency exchanges","Fixed rate","https://i-co.in","iCoin","119.18.49.240","False","False","False","False"
"Currency exchanges","Bulk/Large-sized Trades","https://bitcointalk.org/index.php?topic=87094.0","Bitcoins Direct","109.201.133.195","False","False","False","False"
"Currency exchanges","Bulk/Large-sized Trades","https://bitcointalk.org/index.php?topic=89757.msg996082#msg996082","BitPay","109.201.133.195","False","False","False","True"
"Currency exchanges","Bulk/Large-sized Trades","https://bitcointalk.org/index.php?topic=133065.0","Casascius","109.201.133.195","False","False","False","False"
"Currency exchanges","Bulk/Large-sized Trades","https://bitcoin-24.com","Bitcoin-24.com","141.101.126.83","True","False","False","False"
"Currency exchanges","Gift/Debit Cards","https://www.sellbitcoinforcash.com","sell BTC for $$$","50.62.108.36","False","False","False","False"
"Currency exchanges","Gift/Debit Cards","http://www.gyft.com/","Gyft","198.58.111.154","False","False","False","False"
"Currency exchanges","Gift/Debit Cards","http://cash4coins.pw/","Cash4Coins","173.236.126.226","False","False","False","False"
"Currency exchanges","Gift/Debit Cards","https://bips.me","BIPS Redeemable Gift Card","23.23.197.79","False","True","False","False"
"Currency exchanges","Gift/Debit Cards","https://bitcc.herokuapp.com","BitCC","54.225.177.29","False","True","False","False"
"Currency exchanges","Gift/Debit Cards","http://giftsforcoins.com","GiftsForCoins.com","192.254.229.74","False","False","False","False"
"Currency exchanges","Gift/Debit Cards","http://bit-host.tk/?wiki","Bit-Host","0.0.0.0","False","False","False","False"
"Currency exchanges","Gift/Debit Cards","http://www.btcinstant.com","BTCinstant","74.208.60.46","False","False","False","False"
"Currency exchanges","Gift/Debit Cards","http://globalstandardbank.com/Global_Standard/Global_Standard_Bank_BitCard.html","BitCards from Global Standard Bank","0.0.0.0","False","False","False","False"
"Currency exchanges","Gift/Debit Cards","http://xbit.me","Xbit","64.74.223.42","False","False","False","False"
"Currency exchanges","Gift/Debit Cards","http://www.spendbitcoins.com","Spend Bitcoins","108.162.200.240","True","False","False","False"
"Currency exchanges","Gift/Debit Cards","http://BitcoinCodes.com","BitcoinCodes","176.221.40.175","False","False","False","False"
"Currency exchanges","Gift/Debit Cards","https://www.btclot.com/vcc/","BTCLot VCC","146.185.166.176","False","False","False","False"
"Currency exchanges","Gift/Debit Cards","https://rbitco.in/print","Real Bitcoin (print)","107.6.44.42","False","False","False","False"
"Currency exchanges","Gift/Debit Cards","http://giftcardbtc.com","GiftCard BTC","54.244.124.115","False","True","False","False"
"Currency exchanges","Gift/Debit Cards","http://icedmocha.co.uk","IcedMocha","141.101.117.197","True","False","False","False"
"Currency exchanges","Gift/Debit Cards","http://bitcointalk.org/index.php?topic=156968.0","Lyoness prepaid gift card","109.201.133.195","False","False","False","False"
"Currency exchanges","Gift/Debit Cards","http://www.egifter.com/bitcoin/","eGifter offers Bitcoin payments","141.101.127.76","True","False","False","False"
"Currency exchanges","Precious &amp; Base Metals/Coins","http://www.alexchenko.net/","Alexchenko Silver Co.","96.237.174.192","False","False","False","False"
"Currency exchanges","Precious &amp; Base Metals/Coins","http://www.amagimetals.com","AmagiMetals.com","192.64.53.190","False","False","False","False"
"Currency exchanges","Precious &amp; Base Metals/Coins","http://www.bitaurum.eu","BitAurum.eu","134.0.28.35","False","False","False","False"
"Currency exchanges","Precious &amp; Base Metals/Coins","http://www.bitcoinag.blogspot.ca/","BitcoinAg","74.125.227.107","False","False","False","False"
"Currency exchanges","Precious &amp; Base Metals/Coins","http://bitcoincommodities.com","BitCoinCommodities","85.214.195.196","False","False","False","False"
"Currency exchanges","Precious &amp; Base Metals/Coins","http://www.bitsilver.us","BitSilver.US","50.63.174.79","False","False","False","False"
"Currency exchanges","Precious &amp; Base Metals/Coins","http://www.btcag.co","BTCAg","97.74.141.45","False","False","False","False"
"Currency exchanges","Precious &amp; Base Metals/Coins","http://www.bullionbit.com","Bullionbit.com","95.142.159.51","False","False","False","False"
"Currency exchanges","Precious &amp; Base Metals/Coins","http://www.casascius.com","Casascius Physical Bitcoins","50.73.45.250","False","False","False","False"
"Currency exchanges","Precious &amp; Base Metals/Coins","http://www.coin.me.uk","Coin.me.uk","108.162.198.30","True","False","False","False"
"Currency exchanges","Precious &amp; Base Metals/Coins","http://coinabul.com/","Coinabul.com","141.101.112.71","True","False","False","False"
"Currency exchanges","Precious &amp; Base Metals/Coins","http://www.coinedbits.com","CoinedBits.com","184.72.52.63","False","True","False","False"
"Currency exchanges","Precious &amp; Base Metals/Coins","http://www.chariottrading.com/bitcoin.html","Chariot Trading Company","0.0.0.0","False","False","False","False"
"Currency exchanges","Precious &amp; Base Metals/Coins","http://www.midasbitcoin.blogspot.com/","Midasbitcoin","74.125.227.106","False","False","False","False"
"Currency exchanges","Precious &amp; Base Metals/Coins","http://gold2bitcoins.com","Gold to Bitcoins","8.5.1.41","False","False","False","False"
"Currency exchanges","Precious &amp; Base Metals/Coins","http://mjbmonetarymetals.co.uk","MJB Monetary Metals","79.170.40.32","False","False","False","False"
"Currency exchanges","Precious &amp; Base Metals/Coins","http://shiresilver.com","Shire Silver","108.174.144.244","False","False","False","False"
"Currency exchanges","Precious &amp; Base Metals/Coins","http://goldexpert.com","GoldExpert.com","0.0.0.0","False","False","False","False"
"Currency exchanges","Precious &amp; Base Metals/Coins","http://hopea.fi","hopea.fi","80.69.161.38","False","False","False","False"
"Currency exchanges","Precious &amp; Base Metals/Coins","https://www.wisermetals.com/","WiserMetals.com","173.236.184.75","False","False","False","False"
"Currency exchanges","Precious &amp; Base Metals/Coins","http://www.oxbridgehouse.com/","Oxbridge House, Inc.","72.52.179.119","False","False","False","False"
"Currency exchanges","Anonymous Exchanges","http://toratm3dhalotm3f.onion/","TorATM","0.0.0.0","False","False","False","False"
"Currency exchanges","Anonymous Exchanges","http://bitcash.pythonanywhere.com/","BitCash","50.19.109.98","False","True","False","False"
"Currency exchanges","Local/In-Hand Exchanges","http://tradeyourbitcoin.com/","TradeYourBitcoin.com","82.221.129.17","False","False","False","False"
"Currency exchanges","Local/In-Hand Exchanges","http://localbitcoins.com/","Localbitcoins.com","5.9.105.18","False","False","False","False"
"Currency exchanges","Local/In-Hand Exchanges","http://BTCspot.com/","BTCspot","188.116.35.59","False","False","False","False"
"Currency exchanges","Local/In-Hand Exchanges","http://www.bitcoinlocator.com/","Bitcoinlocator","174.129.30.41","False","True","False","False"
"Financial","Contracts","http://www.minerlease.com","MinerLease","149.210.170.4","False","False","False","False"
"Financial","Contracts","https://cex.io/","cex.io","141.101.123.149","True","False","False","False"
"Financial","Stocks","http://www.bitcoinstockexchange.org","Bitcoin Stock Exchange","198.245.49.6","False","False","False","False"
"Financial","Lending","https://www.bitbond.net/","Bitbond.net","141.101.126.195","True","False","False","False"
"Financial","Lending","https://btcjam.com/","BTCJam","107.23.36.203","False","True","False","False"
"Financial","Lending","http://bitdeposit.net/","Bitdeposit.net","94.23.151.3","False","False","False","False"
"Financial","Lending","https://coinlenders.com","CoinLenders","64.22.68.90","False","False","False","False"
"Financial","Equities","http://mpex.co/","MPEX","50.97.142.131","False","False","False","True"
"Financial","Equities","http://picostocks.com","PicoStocks","150.254.161.29","False","False","False","False"
"Financial","Equities","https://btct.co/","BTC-TC","190.93.252.42","True","False","False","True"
"Financial","Equities","https://cryptostocks.com","CryptoStocks","108.162.206.106","True","False","False","False"
"Financial","Equities","https://coinbr.com","CoinBr.com","54.228.233.86","False","True","False","False"
"Financial","Options","http://btclevels.com/","BTClevels","46.4.58.69","False","False","False","False"
"Financial","Options","http://www.btcoracle.com","BTCOracle","176.31.180.139","False","False","False","False"
"Financial","Options","http://mpex.co/","MPOE","50.97.142.131","False","False","False","True"
"Financial","Futures","https://icbit.se","ICBIT","176.9.122.121","False","False","False","False"
"Financial","Futures","http://mpex.co/","MPEx","50.97.142.131","False","False","False","True"
"Financial","Forex","http://ava-trade.co.uk","AvaTrade","173.254.39.125","False","False","False","False"
"Financial","Forex","http://500plusforex.com","Plus500","50.63.202.25","False","False","False","False"
"Financial","Forex","http://www.firstnationalib.com/","FNIB","91.214.168.140","False","False","False","False"
"Financial","Forex","http://www.liteforex.com","LiteForex","78.140.179.156","False","False","False","False"
"Financial","Forex","https://1broker.com","1Broker","141.101.125.240","True","False","False","False"
"Financial","Forex","http://www.bit4x.com","Bit4X","78.46.215.67","False","False","False","False"
"Financial","Interest on Bitcoin","https://coinlenders.com","CoinLenders","64.22.68.90","False","False","False","False"
"Financial","Interest on Bitcoin","http://bitdeposit.net","Bitdeposit","94.23.151.3","False","False","False","False"
"Financial","Tools","http://myBitWorth.com","myBitWorth","108.160.144.32","False","False","False","False"
"Bitcoin eWallets","Bitcoin Banking and Ewallets","https://www.bctip.org","BCTIP","78.47.234.218","False","False","False","False"
"Bitcoin eWallets","Bitcoin Banking and Ewallets","https://www.dwolla.com/","Dwolla","63.143.6.1","False","False","False","True"
"Bitcoin eWallets","Bitcoin Banking and Ewallets","https://bitcoinera.net/","Bitcoinera.net","46.183.219.241","False","False","False","False"
"Bitcoin eWallets","Bitcoin Banking and Ewallets","http://bitdeposit.net","Bitdeposit","94.23.151.3","False","False","False","False"
"Bitcoin eWallets","Bitcoin Banking and Ewallets","https://bitcoinwallet.in","BitcoinWallet.in","94.229.64.90","False","False","False","False"
"Bitcoin eWallets","Bitcoin Banking and Ewallets","https://bips.me","BIPS","23.23.197.79","False","True","False","False"
"Bitcoin eWallets","Bitcoin Banking and Ewallets","https://www.blockchain.info/wallet","Blockchain","190.93.243.195","True","False","False","True"
"Bitcoin eWallets","Bitcoin Banking and Ewallets","https://coinbase.com","Coinbase","190.93.242.231","True","False","False","True"
"Bitcoin eWallets","Bitcoin Banking and Ewallets","https://coinb.in","Coinb.in","78.129.236.141","False","False","False","False"
"Bitcoin eWallets","Bitcoin Banking and Ewallets","https://coinlenders.com","CoinLenders","64.22.68.90","False","False","False","False"
"Bitcoin eWallets","Bitcoin Banking and Ewallets","https://easywallet.org","Easywallet.org","144.76.117.4","False","False","False","False"
"Bitcoin eWallets","Bitcoin Banking and Ewallets","http://www.flexcoin.com","Flexcoin","23.23.214.10","False","True","False","False"
"Bitcoin eWallets","Bitcoin Banking and Ewallets","http://kipochi.com","Kipochi","141.101.124.125","True","False","False","False"
"Bitcoin eWallets","Bitcoin Banking and Ewallets","https://paytunia.com","Paytunia","0.0.0.0","False","False","False","False"
"Bitcoin eWallets","Bitcoin Banking and Ewallets","https://PikaPay.com","PikaPay","192.31.186.24","False","False","False","False"
"Bitcoin eWallets","Bitcoin Banking and Ewallets","https://www.strongcoin.com","StrongCoin","23.23.73.42","False","True","False","False"
"Bitcoin eWallets","Bitcoin Banking and Ewallets","http://valutapay.com","ValutaPay","208.113.145.125","False","False","False","False"
"Bitcoin eWallets","Bitcoin Banking and Ewallets","https://rbitco.in","Real Bitcoin","107.6.44.42","False","False","False","False"
"Bitcoin payment systems","NA","https://bips.me","BIPS","23.23.197.79","False","True","False","False"
"Bitcoin payment systems","NA","http://www.BitPay.com","BitPay","141.101.113.162","True","False","False","True"
"Bitcoin payment systems","NA","http://merchant.bitutils.com","BitUtils Merchant","192.81.132.205","False","False","False","False"
"Bitcoin payment systems","NA","http://www.bitpay.biz","BitPay.BIZ Membership Billing","62.75.209.64","False","False","False","False"
"Bitcoin payment systems","NA","http://paysius.com","Paysius","65.111.172.130","False","False","False","False"
"Bitcoin payment systems","NA","https://PikaPay.com","PikaPay","192.31.186.24","False","False","False","False"
"Bitcoin payment systems","NA","http://www.bitvendor.net","BitVendor","0.0.0.0","False","False","False","False"
"Bitcoin payment systems","NA","http://bfg.swfchan.com/?start","The BFG Program","88.80.28.8","False","False","False","False"
"Bitcoin payment systems","NA","https://www.soescrow.com","S.O. Escrow","50.63.134.38","False","False","False","False"
"Bitcoin payment systems","NA","https://www.soescrow.com","S.O. Escrow","50.63.134.38","False","False","False","False"
"Bitcoin payment systems","NA","https://www.soescrow.com","S.O. Escrow","50.63.134.38","False","False","False","False"
"Bitcoin payment systems","NA","https://btc-asia.com/","BTC-Asia.com - Secure Bitcoin Escrows","67.208.113.250","False","False","False","False"
"Internet &amp; Mobile services","Bitcoin-related","http://www.btcbalancewatcher.com","BTCBalanceWatcher","107.21.237.25","False","True","False","False"
"Internet &amp; Mobile services","Bitcoin-related","http://www.btcbalancewatcher.com","BTCBalanceWatcher","107.21.237.25","False","True","False","False"
"Internet &amp; Mobile services","Bitcoin-related","http://bit-miner.com/","Bit-Miner","67.196.4.111","False","False","False","False"
"Internet &amp; Mobile services","Bitcoin-related","http://www.bitcoinmail.com/","BitMail","18.228.0.188","False","False","False","False"
"Internet &amp; Mobile services","Bitcoin-related","http://test.bitcoinreminder.com/","Bitcoinreminder.com","178.77.103.203","False","False","False","False"
"Internet &amp; Mobile services","Bitcoin-related","http://www.paymyaddress.com/","PayMe Cards","207.115.88.120","False","False","False","False"
"Internet &amp; Mobile services","Bitcoin-related","http://cryptfolio.com/","CryptFolio","50.116.3.249","False","False","False","False"
"Internet &amp; Mobile services","Connectivity","https://www.trilightzone.org","TrilightZone","69.194.234.110","False","False","False","False"
"Internet &amp; Mobile services","Connectivity","https://www.privateinternetaccess.com/","VPN Service","72.52.9.107","False","False","False","False"
"Internet &amp; Mobile services","Connectivity","http://www.torguard.net","TorGuard","190.93.255.45","True","False","False","False"
"Internet &amp; Mobile services","Connectivity","http://www.hostvpn.com","HostVPN","173.255.192.40","False","False","False","False"
"Internet &amp; Mobile services","Connectivity","https://secure.cryptohippie.com/","Cryptohippie.com","78.47.105.60","False","False","False","False"
"Internet &amp; Mobile services","Connectivity","https://VPNme.com","VPNme.com","64.26.29.38","False","False","False","False"
"Internet &amp; Mobile services","Connectivity","https://cryptocloud.com","cryptocloud","199.83.134.6","False","False","True","False"
"Internet &amp; Mobile services","Connectivity","http://www.hidemynet.com","HideMyNet","208.100.31.97","False","False","False","False"
"Internet &amp; Mobile services","Connectivity","http://www.privacy.li","Privacy.li","81.2.199.9","False","False","False","False"
"Internet &amp; Mobile services","Connectivity","http://btguard.com/?a=wearehidden","BTguard","209.44.102.196","False","False","False","False"
"Internet &amp; Mobile services","Connectivity","https://www.azirevpn.com/","azirevpn","194.1.247.22","False","False","False","False"
"Internet &amp; Mobile services","Connectivity","http://proxy.sh/panel","Proxy.sh","85.17.94.159","False","False","False","False"
"Internet &amp; Mobile services","Connectivity","https://www.ivpn.net/","IVPN","198.24.173.114","False","False","False","False"
"Internet &amp; Mobile services","Connectivity","http://www.bitusenet.com","Bitusenet.com","184.73.152.25","False","True","False","False"
"Internet &amp; Mobile services","Connectivity","https://orders.versavpn.com/","VersaVPN L.L.C.","50.31.2.220","False","False","False","False"
"Internet &amp; Mobile services","Connectivity","https://www.bitronictech.net/secure-ssl-vpn.php","Bitronic VPN","0.0.0.0","False","False","False","False"
"Internet &amp; Mobile services","Connectivity","https://www.puxi.me/","Puxi.me","87.98.184.223","False","False","False","False"
"Internet &amp; Mobile services","Connectivity","http://www.bitsforcoins.com","BitsForCoins","68.234.30.2","False","False","False","False"
"Internet &amp; Mobile services","Connectivity","http://securitykiss.com/","SecurityKISS","91.227.221.115","False","False","False","False"
"Internet &amp; Mobile services","Connectivity","http://torvpn.com/","TorVPN","188.227.224.112","False","False","False","False"
"Internet &amp; Mobile services","Connectivity","http://simpleproxylist.com/","Simple Proxy List","69.164.211.212","False","False","False","False"
"Internet &amp; Mobile services","Connectivity","http://rosinstrument.com/","Free Public Proxy Servers List","67.222.12.123","False","False","False","False"
"Internet &amp; Mobile services","Connectivity","https://airvpn.org","AirVPN.org","95.211.138.143","False","False","False","False"
"Internet &amp; Mobile services","Connectivity","https://cp.ovpn.to/index.php","oVPN.to","0.0.0.0","False","False","False","False"
"Internet &amp; Mobile services","Connectivity","http://cryptoanarchy.us/store","cryptoanarchy.us","173.254.38.82","False","False","False","False"
